HomeTeam,AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTHG,HTAG,FTR
Ath Bilbao,Getafe,7,9,4,2,15,12,5,6,4,1,0,0,1,0,D
Betis,Girona,19,13,4,2,11,7,4,4,2,0,0,0,1,0,D
Celta,Alaves,6,10,4,2,8,23,3,3,3,2,0,0,0,1,H
Las Palmas,Sevilla,13,16,5,5,12,13,6,3,0,0,0,0,1,1,D
Osasuna,Leganes,16,10,5,4,14,12,6,4,3,2,0,0,0,1,D
Valencia,Barcelona,6,18,1,8,11,13,3,8,2,3,0,0,1,1,A
Sociedad,Vallecano,11,12,5,5,14,21,10,5,2,4,0,0,0,0,A
Mallorca,Real Madrid,12,13,5,4,11,6,8,7,1,0,0,1,0,1,D
Valladolid,Espanol,12,10,3,2,15,8,3,2,2,2,0,0,1,0,H
Villarreal,Ath Madrid,8,10,3,5,6,10,2,3,1,3,0,0,2,2,D
Celta,Valencia,7,13,5,5,9,11,4,7,3,0,0,0,2,1,H
Sevilla,Villarreal,15,6,9,5,15,7,7,2,3,5,0,0,1,1,A
Osasuna,Mallorca,15,11,5,2,10,8,5,4,2,1,0,0,0,0,H
Barcelona,Ath Bilbao,13,9,5,2,11,16,5,6,4,5,0,0,1,1,H
Espanol,Sociedad,13,8,3,4,14,18,7,4,2,2,0,0,0,0,A
Getafe,Vallecano,12,3,0,1,16,18,3,2,1,2,0,0,0,0,D
Real Madrid,Valladolid,17,8,9,2,10,15,5,5,1,1,0,0,0,0,H
Leganes,Las Palmas,10,10,5,5,11,10,3,7,1,1,0,0,0,0,H
Alaves,Betis,3,13,1,3,16,13,3,8,1,4,1,0,0,0,D
Ath Madrid,Girona,11,13,6,5,11,10,1,9,1,3,0,0,1,0,H
Villarreal,Celta,22,18,9,8,8,6,7,4,4,3,0,0,1,2,H
Mallorca,Sevilla,12,16,4,7,15,10,5,9,0,1,0,1,0,0,D
Vallecano,Barcelona,8,22,4,5,17,11,6,6,3,1,0,0,1,0,A
Ath Bilbao,Valencia,13,2,4,0,14,9,5,3,1,3,0,0,1,0,H
Valladolid,Leganes,12,8,2,1,13,19,4,4,1,5,0,0,0,0,D
Ath Madrid,Espanol,24,8,7,1,6,9,9,3,0,2,0,0,0,0,D
Sociedad,Alaves,8,12,1,5,16,12,8,6,4,4,1,0,1,1,A
Girona,Osasuna,10,1,5,0,10,9,5,0,0,0,0,0,1,0,H
Las Palmas,Real Madrid,7,25,3,8,16,13,2,6,0,2,0,0,1,0,D
Barcelona,Valladolid,23,5,10,2,6,12,10,1,0,3,0,0,3,0,H
Ath Bilbao,Ath Madrid,8,9,1,2,13,9,2,2,3,1,0,0,0,0,A
Espanol,Vallecano,10,17,5,5,14,16,3,7,3,2,0,0,1,1,H
Leganes,Mallorca,4,12,2,3,11,17,1,3,1,3,0,0,0,1,A
Valencia,Villarreal,22,9,6,3,15,11,14,3,3,5,0,1,1,1,D
